artifact_or_group_id	data_package	source_path	zenodo_path	role	inclusion_rule	external_dependency	status	notes
SUPP_TAB_S1	DP01	01_metadata/station_crosswalk.csv; holtemme_sample_metadata_publication.csv	DP01_chemistry/publication_artifacts/Table_S1	publication_reconstruction	canonical metadata files	10.5281/zenodo.22143080	ready_candidate	No new analytical table.
SUPP_TAB_S2	DP01	Results_02_Chemistry_Transcriptome_Integration/tables/chemistry/holtemme_chemistry_site_metrics.csv	DP01_chemistry/publication_artifacts/Table_S2	publication_reconstruction	canonical derived chemistry descriptor	10.5281/zenodo.22143080	ready_candidate	Primary archive remains external.
SUPP_TAB_S3	DP03	Results_01_Global_Transcriptome_Structure/tables/*.csv	DP03_global_transcriptome_structure/publication_artifacts/Table_S3	publication_reconstruction	canonical PCA/QC summary tables	SRP571512	ready_candidate	Existing tables only.
SUPP_TAB_S4	DP03	Results_02_Chemistry_Transcriptome_Integration/tables/constrained_ordination/*.csv	DP03_global_transcriptome_structure/publication_artifacts/Table_S4	publication_reconstruction	canonical RDA table set	SRP571512; 10.5281/zenodo.22143080	ready_candidate	Audit tables retained in evidence layer.
SUPP_TAB_S5	DP04	Results_03_Differential_Expression/tables/contrast_summary.csv	DP04_differential_expression/publication_artifacts/Table_S5	publication_reconstruction	canonical DE contrast summary		ready_candidate	Supporting summaries staged alongside.
SUPP_TAB_S6	DP05	Results_06_Functional_Synthesis/tables/figure4_functional_landscape/*.tsv	DP05_functional_evidence/publication_artifacts/Table_S6	publication_reconstruction	canonical functional provenance tables	EchoGO 0.1.4 dcf41371b20cccb2914852dc2c0436ecba62c559	ready_candidate	No replacement workbook.
SUPP_TAB_S7	DP07	Results_08_Site_Associated_Module_Functional_Exploration/tables/final_wgcna_quality_control_gates.csv	DP07_site_associated_modules/publication_artifacts/Table_S7	publication_reconstruction	final QC and panel decision inputs	DP06 network-selection evidence	ready_candidate	DP07 is paper-facing.
DP01_PAYLOAD	DP01	selected chemistry metadata, derived tables, S1/S2 source exports, Figure 1 sources	DP01_chemistry	analytical_evidence	files selected by DP01 README and build script	10.5281/zenodo.22143080	ready_candidate	Primary concentration archive referenced, not duplicated.
DP02_PAYLOAD	DP02	validated count/normalized matrices, metadata, QC summaries	DP02_rnaseq_inputs_qc	analytical_evidence	files selected by DP02 README and build script	SRP571512	ready_candidate	No FASTQ files.
DP03_PAYLOAD	DP03	VST matrix, PCA/distance/RDA tables and plots	DP03_global_transcriptome_structure	analytical_evidence	files selected by DP03 README and build script	SRP571512; 10.5281/zenodo.22143080	ready_candidate	Six-site centroid RDA boundary documented.
DP04_PAYLOAD	DP04	complete canonical DESeq2 outputs and Results 5 seed handoff	DP04_differential_expression	analytical_evidence	DESeq2/significant/seed patterns; cluster aliases excluded		ready_candidate	Historical internal contrast identifiers retained.
DP05_PAYLOAD	DP05	GOseq, EchoGO handoff/provenance, functional synthesis and candidate-gene evidence	DP05_functional_evidence	analytical_evidence	canonical evidence tables and final publication inputs; backups excluded	EchoGO 0.1.4 dcf41371b20cccb2914852dc2c0436ecba62c559	ready_candidate	Pre-v0.1.4 and duplicate native-report trees excluded.
DP06_PAYLOAD	DP06	network-selection diagnostics, decision tables, selected cache	DP06_wgcna_network_selection	provenance_audit	selected diagnostics and bounded cache only		ready_candidate	No direct publication artifact.
DP07_PAYLOAD	DP07	site-associated module panels, QC, stability and functional summaries	DP07_site_associated_modules	analytical_evidence	canonical Step 08 tables and plots	DP06 network-selection evidence	ready_candidate	Supports Figure 5 and Table S7.

